
# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.98
2                       1.94
4                       4.16
8                       8.35
16                     16.65
32                     31.86
64                     63.52
128                   127.79
256                   177.27
512                   267.53
1024                  369.47
2048                  496.84
4096                  795.94
8192                  760.51
16384                1492.43
32768                2796.27
65536                5259.66
131072               9006.19
262144              14388.94
524288              18776.04
1048576             17551.02
2097152             17761.08
4194304             17472.20
8388608             16943.49
16777216            10720.27
33554432             7307.24
67108864             6792.36
134217728            6390.01
268435456            6378.03
536870912            6349.35
1073741824           6315.27
