
# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.54
2                       2.96
4                       5.36
8                      12.29
16                     24.77
32                     46.74
64                     93.93
128                   180.14
256                   243.57
512                   372.75
1024                  510.68
2048                  685.52
4096                 1047.67
8192                  778.91
16384                1510.71
32768                2909.52
65536                5366.54
131072               9286.49
262144              14591.65
524288              18740.05
1048576             17590.16
2097152             17792.96
4194304             17202.54
8388608             17049.55
16777216            10778.57
33554432             6962.42
67108864             6201.70
134217728            6220.81
268435456            6198.89
536870912            6188.42
1073741824           6186.24
