
# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       9.73
2                      21.91
4                      32.93
8                      38.20
16                    182.12
32                    320.14
64                    602.99
128                  1120.28
256                  1802.76
512                  3378.99
1024                 5382.21
2048                10659.20
4096                16092.28
8192                  833.95
16384                1613.55
32768                3089.76
65536                5683.50
131072               9734.96
262144              15285.67
524288              18970.45
1048576             17432.99
2097152             17414.64
4194304             17213.79
8388608             17238.87
16777216            11779.37
33554432             9623.66
67108864             7861.11
134217728            7435.19
268435456            7181.95
