
# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.67
2                       1.34
4                       2.74
8                       5.51
16                     11.05
32                     22.10
64                     33.62
128                    66.73
256                   131.78
512                    35.33
1024                   70.73
2048                  143.15
4096                  280.48
8192                  576.10
16384                1150.83
32768                2267.10
65536                4377.84
131072               8699.24
262144              17882.14
524288              35303.11
1048576             82192.59
2097152            161075.47
4194304            301850.94
8388608            506107.16
16777216           821879.67
33554432          1173161.61
67108864          1483172.14
134217728         1320312.81
268435456         1163328.52
536870912         1188067.57
1073741824        1154457.97
