
# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.66
2                       1.33
4                       2.71
8                       5.48
16                     10.95
32                     21.90
64                     33.42
128                    66.24
256                   131.02
512                    85.74
1024                  172.70
2048                  349.87
4096                  690.37
8192                 1363.79
16384                2665.05
32768                4998.68
65536                9165.89
131072              15844.74
262144              25192.70
524288              34461.75
1048576            148957.55
2097152            279929.65
4194304            490752.09
8388608            734883.21
16777216          1099160.68
33554432          1440097.57
67108864          1664079.59
134217728         1420028.72
268435456         1185496.91
536870912         1189478.19
1073741824        1193673.51
