
# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.55
2                       3.13
4                       6.56
8                      13.31
16                     26.59
32                     53.46
64                     82.47
128                   159.71
256                   319.07
512                    83.02
1024                  149.56
2048                  297.80
4096                  445.29
8192                  891.85
16384                1773.48
32768                3500.88
65536                6803.08
131072              12756.44
262144              22517.91
524288              37098.58
1048576             56228.45
2097152             75940.47
4194304             91924.06
8388608            102452.37
16777216           109140.59
33554432           112802.45
67108864           114585.81
134217728          115596.48
268435456          116176.52
536870912          116485.63
1073741824         116655.15
