
# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.90
2                       1.79
4                       3.68
8                       7.45
16                     14.81
32                     29.76
64                     45.35
128                    89.68
256                   177.59
512                    74.39
1024                  150.54
2048                  296.77
4096                  596.87
8192                 1185.89
16384                2327.98
32768                4663.25
65536                8889.89
131072              17626.55
262144              34920.55
524288              57709.00
1048576             72097.76
2097152             79388.18
4194304             82205.97
8388608             86874.26
16777216            88066.97
33554432            89537.81
67108864            87628.93
134217728           90281.05
268435456           89282.59
536870912           90537.59
1073741824          90549.67
