
# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.91
2                       1.82
4                       3.75
8                       7.59
16                     15.14
32                     30.34
64                     45.84
128                    90.60
256                   179.46
512                    75.38
1024                  153.56
2048                  307.45
4096                  606.82
8192                 1197.71
16384                2333.14
32768                4519.90
65536                8446.66
131072              14793.09
262144              23578.90
524288              33633.41
1048576             42681.39
2097152             49319.86
4194304             53356.68
8388608             55722.58
16777216            56915.78
33554432            57646.82
67108864            58013.62
134217728           56154.39
268435456           55765.26
536870912           57073.92
1073741824          57723.78
