
# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.60
2                       3.20
4                       6.70
8                      13.64
16                     27.20
32                     54.33
64                     83.66
128                   164.47
256                   320.77
512                    52.89
1024                  223.06
2048                  450.30
4096                  900.61
8192                 1769.24
16384                3466.66
32768                6870.90
65536               13283.99
131072              24410.86
262144              47249.77
524288              85279.23
1048576            135460.95
2097152            204218.72
4194304            228071.43
8388608            276835.35
16777216           311120.07
33554432           331657.27
67108864           342468.96
134217728          325659.78
268435456          307987.89
536870912          309465.50
1073741824         310078.83
