
# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       5.13
2                      10.11
4                      23.31
8                      48.38
16                     97.55
32                    193.64
64                    329.34
128                   740.21
256                  1433.92
512                    88.12
1024                  173.88
2048                  347.43
4096                  687.85
8192                 1376.28
16384                2728.63
32768                5475.48
65536               10270.52
131072              20963.60
262144              40981.79
524288              76543.75
1048576            168629.87
2097152            319375.99
4194304            561372.99
8388608            827282.34
16777216          1157472.52
33554432          1475625.52
67108864          1683814.44
134217728         1351324.82
268435456         1187547.79
536870912         1196047.10
1073741824        1196646.75
