
# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       5.09
2                      10.01
4                      23.05
8                      47.86
16                     95.48
32                    189.40
64                    334.71
128                   740.74
256                  1260.36
512                    75.69
1024                  151.18
2048                  301.85
4096                  600.12
8192                 1184.23
16384                2248.90
32768                4251.41
65536                7709.38
131072              14105.59
262144              22056.15
524288              32506.14
1048576            127382.04
2097152            243920.05
4194304            429930.06
8388608            690628.37
16777216          1033311.89
33554432          1385652.92
67108864          1622940.76
134217728         1507340.71
268435456         1181041.31
536870912         1199997.23
1073741824        1180542.23
