
# OSU MPI Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.83
2                       1.85
4                       1.84
8                       1.85
16                      1.85
32                      2.03
64                      2.01
128                     1.96
256                     2.38
512                     2.85
1024                    4.02
2048                    4.99
4096                    6.61
8192                   14.75
16384                  26.65
32768                  51.43
65536                 103.13
131072                202.69
262144                 45.31
524288                 60.36
1048576               114.56
2097152               183.32
4194304               345.33
