
# OSU MPI Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.20
2                       1.17
4                       1.18
8                       1.17
16                      1.17
32                      1.30
64                      1.25
128                     1.40
256                     1.69
512                     2.04
1024                    2.77
2048                    3.38
4096                    5.28
8192                   10.77
16384                  19.55
32768                  37.98
65536                  75.36
131072                149.21
262144                 34.38
524288                 64.00
1048576               112.08
2097152               171.53
4194304               337.57
