
# OSU MPI Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.26
2                       0.18
4                       0.21
8                       0.18
16                      0.18
32                      0.20
64                      0.20
128                     0.27
256                     0.26
512                     0.28
1024                    0.32
2048                    0.38
4096                    0.54
8192                    0.68
16384                   1.06
32768                   1.98
65536                   3.28
131072                  6.03
262144                 27.84
524288                 49.07
1048576                99.99
2097152               199.67
4194304               403.87
