
# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.76
2                       2.61
4                       2.57
8                       2.59
16                      2.57
32                      2.60
64                      3.27
128                     3.45
256                     3.28
512                    37.84
1024                   37.79
2048                   25.22
4096                   39.60
8192                   41.03
16384                  38.52
32768                  49.19
65536                  38.98
131072                 38.98
262144                 50.62
524288                 39.39
1048576                35.34
2097152                35.51
4194304                36.53
