
# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.48
2                       2.59
4                       2.58
8                       2.58
16                      2.54
32                      2.58
64                      3.24
128                     3.42
256                     3.31
512                     9.70
1024                    9.32
2048                    8.37
4096                   10.22
8192                   10.56
16384                  10.74
32768                  10.94
65536                  11.43
131072                 12.44
262144                 14.73
524288                 19.27
1048576                42.01
2097152                42.54
4194304                43.54
