
# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.98
2                       1.98
4                       1.98
8                       1.98
16                      1.98
32                      1.98
64                      2.59
128                     2.54
256                     2.43
512                    25.87
1024                   25.76
2048                   25.99
4096                   25.87
8192                   23.38
16384                  23.41
32768                  23.43
65536                  23.83
131072                 23.95
262144                 24.01
524288                 24.89
1048576                25.31
2097152                34.06
4194304                58.00
