
# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.93
2                       1.95
4                       1.95
8                       1.95
16                      1.95
32                      1.97
64                      3.50
128                     2.59
256                     2.36
512                     7.85
1024                    7.50
2048                    8.00
4096                    7.37
8192                    7.39
16384                   7.62
32768                   7.74
65536                   8.28
131072                  9.47
262144                 11.74
524288                 16.36
1048576                25.39
2097152                43.35
4194304                79.55
