
# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.01
2                       0.97
4                       0.97
8                       0.97
16                      0.97
32                      0.97
64                      1.27
128                     1.28
256                     1.30
512                    10.59
1024                   10.32
2048                   10.48
4096                    9.99
8192                    9.96
16384                  10.12
32768                  10.17
65536                  10.38
131072                 10.79
262144                 10.98
524288                 11.62
1048576                13.29
2097152                15.04
4194304                23.03
