
# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.23
2                       1.17
4                       1.17
8                       1.16
16                      1.18
32                      1.18
64                      1.35
128                     1.47
256                     1.49
512                     7.05
1024                    6.80
2048                    6.79
4096                   14.05
8192                   14.06
16384                  14.20
32768                  14.29
65536                  14.56
131072                 15.33
262144                 16.94
524288                 19.58
1048576                23.99
2097152                32.83
4194304                51.34
