
# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.39
2                       0.34
4                       0.33
8                       0.33
16                      0.32
32                      0.32
64                      0.36
128                     0.35
256                     0.37
512                    21.83
1024                   21.65
2048                   21.85
4096                   21.83
8192                   21.79
16384                  21.77
32768                  21.73
65536                  21.91
131072                 21.95
262144                 36.69
524288                 22.34
1048576                19.86
2097152                20.32
4194304                21.38
