
# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.37
2                       0.34
4                       0.33
8                       0.33
16                      0.33
32                      0.33
64                      0.36
128                     0.35
256                     0.37
512                     8.76
1024                    8.37
2048                    8.67
4096                    8.10
8192                    8.16
16384                   8.38
32768                   8.80
65536                   9.35
131072                 10.20
262144                 12.43
524288                 16.93
1048576                23.71
2097152                24.19
4194304                25.36
