### Creating Test:	Blocking WG level Gets	B=ipc PE=2 W=1 Z=64 ###
# Volume (B)   Msg Size (B)   # of timed Msgs        Latency (us)    Bandwidth (GB/s)    Msg Rate (Msg/s)
1              1              10                             1.29                0.00           773993.81
2              2              10                             1.26                0.00           791139.24
4              4              10                             1.31                0.00           764525.99
8              8              10                             1.32                0.01           759878.42
16             16             10                             1.52                0.01           659630.61
32             32             10                             1.49                0.02           670241.29
64             64             10                             1.52                0.04           659630.61
128            128            10                             1.50                0.08           666666.67
256            256            10                             1.50                0.16           664893.62
512            512            10                             1.48                0.32           673854.45
1024           1024           10                             1.54                0.62           647668.39
2048           2048           10                             2.09                0.91           478927.20
4096           4096           10                             3.20                1.19           312891.11
8192           8192           10                             2.58                2.96           387596.90
16384          16384          10                             4.46                3.42           224416.52
32768          32768          10                             7.80                3.91           128139.42
65536          65536          10                            14.24                4.28            70205.00
131072         131072         10                            28.23                4.32            35425.82
262144         262144         10                            55.09                4.43            18151.46
524288         524288         10                           106.80                4.57             9363.65
1048576        1048576        10                           212.32                4.60             4709.87
2097152        2097152        10                           431.48                4.53             2317.63
4194304        4194304        10                           857.06                4.56             1166.77
8388608        8388608        10                          1710.37                4.57              584.67
16777216       16777216       10                          3431.73                4.55              291.40
33554432       33554432       10                          6844.52                4.57              146.10
67108864       67108864       10                         13707.22                4.56               72.95
134217728      134217728      10                         27315.28                4.58               36.61
268435456      268435456      10                         55852.24                4.48               17.90
536870912      536870912      10                        115917.03                4.31                8.63
1073741824     1073741824     10                        235457.83                4.25                4.25
