### Creating Test:	Blocking WG level Gets	B=ipc PE=2 W=1 Z=64 ###
# Volume (B)   Msg Size (B)   # of timed Msgs        Latency (us)    Bandwidth (GB/s)    Msg Rate (Msg/s)
1              1              10                             1.24                0.00           803858.52
2              2              10                             1.22                0.00           816993.46
4              4              10                             1.27                0.00           788643.53
8              8              10                             1.27                0.01           788643.53
16             16             10                             1.48                0.01           673854.45
32             32             10                             1.48                0.02           675675.68
64             64             10                             1.50                0.04           668449.20
128            128            10                             1.49                0.08           672043.01
256            256            10                             1.50                0.16           664893.62
512            512            10                             1.46                0.33           683060.11
1024           1024           10                             1.49                0.64           670241.29
2048           2048           10                             1.98                0.96           504032.26
4096           4096           10                             3.12                1.22           320102.43
8192           8192           10                             2.58                2.96           388198.76
16384          16384          10                             4.44                3.44           225428.31
32768          32768          10                             7.67                3.98           130344.11
65536          65536          10                            14.57                4.19            68643.60
131072         131072         10                            27.98                4.36            35744.92
262144         262144         10                            55.18                4.42            18123.82
524288         524288         10                           109.02                4.48             9172.97
1048576        1048576        10                           216.34                4.51             4622.35
2097152        2097152        10                           432.68                4.51             2311.18
4194304        4194304        10                           857.73                4.55             1165.87
8388608        8388608        10                          1714.09                4.56              583.40
16777216       16777216       10                          3419.42                4.57              292.45
33554432       33554432       10                          6836.90                4.57              146.27
67108864       67108864       10                         13714.80                4.56               72.91
134217728      134217728      10                         27340.12                4.57               36.58
268435456      268435456      10                         57136.90                4.38               17.50
536870912      536870912      10                        117774.44                4.25                8.49
1073741824     1073741824     10                        235521.74                4.25                4.25
