### Creating Test:	Blocking WG level Gets	B=ipc PE=2 W=1 Z=64 ###
# Volume (B)   Msg Size (B)   # of timed Msgs        Latency (us)    Bandwidth (GB/s)    Msg Rate (Msg/s)
1              1              10                             1.20                0.00           833333.33
2              2              10                             1.20                0.00           836120.40
4              4              10                             1.20                0.00           830564.78
8              8              10                             1.24                0.01           806451.61
16             16             10                             1.41                0.01           710227.27
32             32             10                             1.43                0.02           700280.11
64             64             10                             1.41                0.04           708215.30
128            128            10                             1.42                0.08           702247.19
256            256            10                             1.44                0.17           694444.44
512            512            10                             1.46                0.33           683060.11
1024           1024           10                             1.45                0.66           690607.73
2048           2048           10                             1.97                0.97           508130.08
4096           4096           10                             2.90                1.32           344827.59
8192           8192           10                             2.63                2.90           379939.21
16384          16384          10                             4.41                3.46           226654.58
32768          32768          10                             7.76                3.93           128799.59
65536          65536          10                            14.47                4.22            69098.95
131072         131072         10                            28.05                4.35            35648.08
262144         262144         10                            55.00                4.44            18181.82
524288         524288         10                           106.99                4.56             9346.84
1048576        1048576        10                           212.04                4.61             4716.18
2097152        2097152        10                           431.78                4.52             2316.02
4194304        4194304        10                           844.32                4.63             1184.39
8388608        8388608        10                          1682.98                4.64              594.18
16777216       16777216       10                          3425.29                4.56              291.95
33554432       33554432       10                          6836.36                4.57              146.28
67108864       67108864       10                         13725.08                4.55               72.86
134217728      134217728      10                         27368.72                4.57               36.54
268435456      268435456      10                         56905.35                4.39               17.57
536870912      536870912      10                        117480.29                4.26                8.51
1073741824     1073741824     10                        235752.68                4.24                4.24
