### Creating Test:	Blocking WG level Gets	B=ipc PE=2 W=1 Z=64 ###
# Volume (B)   Msg Size (B)   # of timed Msgs        Latency (us)    Bandwidth (GB/s)    Msg Rate (Msg/s)   WGs   DeviceUtil(%)
1              1              10                             0.90                0.00          1111111.11   1   2.63
2              2              10                             0.90                0.00          1111111.11   1   2.63
4              4              10                             0.91                0.00          1101321.59   1   2.63
8              8              10                             0.94                0.01          1059322.03   1   2.63
16             16             10                             1.03                0.01           972762.65   1   2.63
32             32             10                             1.02                0.03           976562.50   1   2.63
64             64             10                             1.00                0.06           996015.94   1   2.63
128            128            10                             1.03                0.12           972762.65   1   2.63
256            256            10                             1.02                0.23           984251.97   1   2.63
512            512            10                             1.03                0.46           968992.25   1   2.63
1024           1024           10                             1.04                0.92           961538.46   1   2.63
2048           2048           10                             1.26                1.52           796178.34   1   2.63
4096           4096           10                             1.63                2.34           614250.61   1   2.63
8192           8192           10                             2.40                3.17           415973.38   1   2.63
16384          16384          10                             2.98                5.12           335570.47   1   2.63
32768          32768          10                             5.03                6.06           198728.14   1   2.63
65536          65536          10                             9.06                6.74           110424.03   1   2.63
131072         131072         10                            17.20                7.10            58153.06   1   2.63
262144         262144         10                            32.47                7.52            30799.56   1   2.63
524288         524288         10                            65.94                7.40            15164.38   1   2.63
1048576        1048576        10                           130.91                7.46             7638.95   1   2.63
2097152        2097152        10                           259.96                7.51             3846.75   1   2.63
4194304        4194304        10                           516.69                7.56             1935.39   1   2.63
8388608        8388608        10                          1030.99                7.58              969.94   1   2.63
16777216       16777216       10                          2059.20                7.59              485.63   1   2.63
33554432       33554432       10                          4116.82                7.59              242.91   1   2.63
67108864       67108864       10                          8233.03                7.59              121.46   1   2.63
### Creating Test:	Blocking WG level Gets	B=ipc PE=2 W=2 Z=64 ###
error = 700 
### Creating Test:	Blocking WG level Gets	B=ipc PE=2 W=4 Z=64 ###
error = 700 
### Creating Test:	Blocking WG level Gets	B=ipc PE=2 W=8 Z=64 ###
error = 700 
### Creating Test:	Blocking WG level Gets	B=ipc PE=2 W=16 Z=64 ###
error = 700 
### Creating Test:	Blocking WG level Gets	B=ipc PE=2 W=32 Z=64 ###
error = 700 
### Creating Test:	Blocking WG level Gets	B=ipc PE=2 W=38 Z=64 ###
error = 700 
