### Creating Test:	Blocking WG level Puts	B=ipc PE=2 W=1 Z=64 ###
# Volume (B)   Msg Size (B)   # of timed Msgs        Latency (us)    Bandwidth (GB/s)    Msg Rate (Msg/s)
1              1              10                             0.96                0.00          1046025.10
2              2              10                             0.94                0.00          1068376.07
4              4              10                             0.96                0.00          1046025.10
8              8              10                             0.97                0.01          1033057.85
16             16             10                             1.34                0.01           746268.66
32             32             10                             1.34                0.02           744047.62
64             64             10                             1.32                0.05           755287.01
128            128            10                             1.34                0.09           748502.99
256            256            10                             1.37                0.17           728862.97
512            512            10                             1.38                0.34           722543.35
1024           1024           10                             1.41                0.68           710227.27
2048           2048           10                             1.93                0.99           517598.34
4096           4096           10                             2.96                1.29           337381.92
8192           8192           10                             2.45                3.11           407830.34
16384          16384          10                             3.96                3.85           252525.25
32768          32768          10                             6.53                4.67           153092.47
65536          65536          10                            12.10                5.04            82644.63
131072         131072         10                            22.91                5.33            43652.87
262144         262144         10                            44.42                5.50            22510.35
524288         524288         10                            86.82                5.62            11518.08
1048576        1048576        10                           168.89                5.78             5921.08
2097152        2097152        10                           336.00                5.81             2976.16
4194304        4194304        10                           747.74                5.22             1337.37
8388608        8388608        10                          1492.40                5.23              670.06
16777216       16777216       10                          2985.09                5.23              335.00
33554432       33554432       10                          5960.68                5.24              167.77
67108864       67108864       10                         11961.56                5.23               83.60
134217728      134217728      10                         23892.22                5.23               41.85
268435456      268435456      10                         53832.23                4.64               18.58
536870912      536870912      10                        110962.81                4.51                9.01
1073741824     1073741824     10                        225159.11                4.44                4.44
