### Creating Test:	Blocking WG level Puts	B=ipc PE=2 W=1 Z=64 ###
# Volume (B)   Msg Size (B)   # of timed Msgs        Latency (us)    Bandwidth (GB/s)    Msg Rate (Msg/s)
1              1              10                             0.96                0.00          1041666.67
2              2              10                             0.92                0.00          1082251.08
4              4              10                             0.94                0.00          1059322.03
8              8              10                             0.97                0.01          1028806.58
16             16             10                             1.34                0.01           748502.99
32             32             10                             1.36                0.02           735294.12
64             64             10                             1.32                0.05           755287.01
128            128            10                             1.35                0.09           741839.76
256            256            10                             1.37                0.17           730994.15
512            512            10                             1.38                0.34           722543.35
1024           1024           10                             1.41                0.68           710227.27
2048           2048           10                             1.92                1.00           521920.67
4096           4096           10                             2.97                1.28           336473.76
8192           8192           10                             2.46                3.10           405844.16
16384          16384          10                             3.96                3.85           252270.43
32768          32768          10                             6.69                4.56           149521.53
65536          65536          10                            11.83                5.16            84516.57
131072         131072         10                            22.84                5.34            43782.84
262144         262144         10                            44.43                5.49            22506.30
524288         524288         10                            86.90                5.62            11507.48
1048576        1048576        10                           168.28                5.80             5942.48
2097152        2097152        10                           343.30                5.69             2912.87
4194304        4194304        10                           733.66                5.32             1363.04
8388608        8388608        10                          1492.16                5.24              670.17
16777216       16777216       10                          2974.04                5.25              336.24
33554432       33554432       10                          5842.87                5.35              171.15
67108864       67108864       10                         11909.42                5.25               83.97
134217728      134217728      10                         23864.02                5.24               41.90
268435456      268435456      10                         52108.33                4.80               19.19
536870912      536870912      10                        112736.88                4.44                8.87
1073741824     1073741824     10                        225704.58                4.43                4.43
