### Creating Test:	Blocking WG level Puts	B=ipc PE=2 W=1 Z=64 ###
# Volume (B)   Msg Size (B)   # of timed Msgs        Latency (us)    Bandwidth (GB/s)    Msg Rate (Msg/s)
1              1              10                             0.85                0.00          1179245.28
2              2              10                             0.84                0.00          1190476.19
4              4              10                             0.84                0.00          1184834.12
8              8              10                             0.86                0.01          1168224.30
16             16             10                             0.92                0.02          1091703.06
32             32             10                             0.91                0.03          1096491.23
64             64             10                             0.88                0.07          1131221.72
128            128            10                             0.90                0.13          1106194.69
256            256            10                             0.93                0.26          1077586.21
512            512            10                             0.92                0.52          1082251.08
1024           1024           10                             0.91                1.05          1101321.59
2048           2048           10                             1.35                1.41           739644.97
4096           4096           10                             2.27                1.68           440140.85
8192           8192           10                             4.15                1.84           241080.04
16384          16384          10                             1.93                7.90           517598.34
32768          32768          10                             3.22                9.49           310945.27
65536          65536          10                             5.70               10.71           175438.60
131072         131072         10                            10.76               11.35            92971.36
262144         262144         10                            20.76               11.76            48160.28
524288         524288         10                            41.04               11.90            24364.10
1048576        1048576        10                            81.74               11.95            12233.91
2097152        2097152        10                           162.36               12.03             6159.15
4194304        4194304        10                           331.45               11.79             3017.03
8388608        8388608        10                           660.79               11.82             1513.34
16777216       16777216       10                          1321.70               11.82              756.60
33554432       33554432       10                          2637.87               11.85              379.09
67108864       67108864       10                          5294.62               11.80              188.87
134217728      134217728      10                         10567.99               11.83               94.63
268435456      268435456      10                         21314.98               11.73               46.92
536870912      536870912      10                         42934.60               11.65               23.29
1073741824     1073741824     10                         85932.87               11.64               11.64
