### Creating Test:	Blocking WG level Puts	B=ipc PE=2 W=1 Z=64 ###
# Volume (B)   Msg Size (B)   # of timed Msgs        Latency (us)    Bandwidth (GB/s)    Msg Rate (Msg/s)   WGs   DeviceUtil(%)
1              1              10                             0.84                0.00          1196172.25   1   2.63
2              2              10                             0.80                0.00          1256281.41   1   2.63
4              4              10                             0.82                0.00          1219512.20   1   2.63
8              8              10                             0.83                0.01          1207729.47   1   2.63
16             16             10                             0.92                0.02          1082251.08   1   2.63
32             32             10                             0.92                0.03          1086956.52   1   2.63
64             64             10                             0.92                0.06          1086956.52   1   2.63
128            128            10                             0.92                0.13          1091703.06   1   2.63
256            256            10                             0.91                0.26          1096491.23   1   2.63
512            512            10                             0.91                0.53          1101321.59   1   2.63
1024           1024           10                             0.91                1.05          1096491.23   1   2.63
2048           2048           10                             1.18                1.61           844594.59   1   2.63
4096           4096           10                             1.78                2.15           563063.06   1   2.63
8192           8192           10                             3.00                2.54           332889.48   1   2.63
16384          16384          10                             2.48                6.16           403877.22   1   2.63
32768          32768          10                             4.14                7.36           241312.74   1   2.63
65536          65536          10                             7.40                8.25           135208.22   1   2.63
131072         131072         10                            13.97                8.74            71571.71   1   2.63
262144         262144         10                            27.30                8.94            36635.40   1   2.63
524288         524288         10                            53.40                9.14            18726.59   1   2.63
1048576        1048576        10                           105.93                9.22             9440.37   1   2.63
2097152        2097152        10                           213.78                9.14             4677.79   1   2.63
4194304        4194304        10                           458.76                8.51             2179.79   1   2.63
8388608        8388608        10                           901.21                8.67             1109.62   1   2.63
16777216       16777216       10                          1799.70                8.68              555.65   1   2.63
33554432       33554432       10                          3675.11                8.50              272.10   1   2.63
67108864       67108864       10                          7342.49                8.51              136.19   1   2.63
### Creating Test:	Blocking WG level Puts	B=ipc PE=2 W=2 Z=64 ###
error = 700 
### Creating Test:	Blocking WG level Puts	B=ipc PE=2 W=4 Z=64 ###
error = 700 
### Creating Test:	Blocking WG level Puts	B=ipc PE=2 W=8 Z=64 ###
error = 700 
### Creating Test:	Blocking WG level Puts	B=ipc PE=2 W=16 Z=64 ###
error = 700 
### Creating Test:	Blocking WG level Puts	B=ipc PE=2 W=32 Z=64 ###
error = 700 
### Creating Test:	Blocking WG level Puts	B=ipc PE=2 W=38 Z=64 ###
error = 700 
